Gene,Conn
Q0020,2
Q0045,34
Q0050,7
Q0055,3
Q0060,2
Q0065,2
Q0070,2
Q0075,1
Q0080,11
Q0085,21
Q0105,24
Q0110,5
Q0115,5
Q0120,6
Q0130,10
Q0140,14
Q0158,2
Q0160,1
Q0250,40
Q0255,2
Q0275,21
YBL030C,20
YBL045C,37
YBL075C,5
YBL099W,16
YBR009C,9
YBR024W,6
YBR037C,6
YBR039W,12
YBR120C,8
YBR185C,8
YBR255C-A,11
YCR106W,1
YDL004W,9
YDL107W,7
YDL156W,8
YDL160C,62
YDL160C-A,2
YDR119W-A,12
YDR231C,30
YDR375C,5
YDR377W,13
YDR529C,13
YEL024W,20
YER142C,2
YER154W,15
YGL064C,5
YGL122C,51
YGL187C,46
YGL191W,14
YGR033C,11
YGR037C,4
YGR062C,6
YGR112W,18
YGR132C,7
YGR174C,8
YGR222W,9
YHL004W,7
YHL038C,3
YHR051W,19
YHR076W,7
YIL051C,5
YIL111W,10
YIL157C,10
YIR021W,2
YJL014W,6
YJL062W-A,15
YJL166W,13
YJR045C,50
YJR121W,19
YKL016C,18
YKL155C,8
YKR016W,56
YLR067C,4
YLR203C,19
YLR295C,9
YLR320W,11
YLR382C,2
YLR393W,5
YLR395C,8
YML030W,19
YML081C-A,8
YML129C,20
YMR244C-A,5
YMR256C,8
YNL026W,22
YNL030W,7
YNL052W,19
YNL155W,3
YNL305C,7
YNR017W,15
YNR018W,19
YNR019W,3
YOL027C,15
YOR065W,17
YOR090C,9
YPL078C,18
YPL172C,3
YPL215W,10
YPL271W,11
YPR042C,39
YPR125W,9
YPR140W,4
YPR191W,21
