geneA,geneB
Q0020,YDL160C
Q0020,YPR042C
Q0045,Q0085
Q0045,Q0105
Q0045,Q0140
Q0045,Q0250
Q0045,Q0275
Q0045,YBL045C
Q0045,YBR255C-A
Q0045,YDR119W-A
Q0045,YDR231C
Q0045,YER154W
Q0045,YGL187C
Q0045,YGL191W
Q0045,YGR033C
Q0045,YGR112W
Q0045,YGR222W
Q0045,YHR051W
Q0045,YIL111W
Q0045,YIL157C
Q0045,YJL062W-A
Q0045,YJR045C
Q0045,YKR016W
Q0045,YLR067C
Q0045,YLR203C
Q0045,YLR395C
Q0045,YML030W
Q0045,YML129C
Q0045,YMR256C
Q0045,YNL052W
Q0045,YNR017W
Q0045,YNR018W
Q0045,YOL027C
Q0045,YPL172C
Q0045,YPR042C
Q0045,YPR191W
Q0050,YBR009C
Q0050,YER142C
Q0050,YGL122C
Q0050,YJR045C
Q0050,YKR016W
Q0050,YNL030W
Q0050,YPR140W
Q0055,YGL187C
Q0055,YKR016W
Q0055,YLR320W
Q0060,YGL187C
Q0060,YKR016W
Q0065,YGL187C
Q0065,YKR016W
Q0070,YGL187C
Q0070,YKR016W
Q0075,YGL122C
Q0080,Q0085
Q0080,YBL099W
Q0080,YDR377W
Q0080,YJR121W
Q0080,YKL016C
Q0080,YLR067C
Q0080,YLR203C
Q0080,YLR393W
Q0080,YNR019W
Q0080,YPL078C
Q0080,YPR042C
Q0085,Q0130
Q0085,Q0275
Q0085,YBL099W
Q0085,YBR039W
Q0085,YCR106W
Q0085,YDL004W
Q0085,YER154W
Q0085,YJR045C
Q0085,YJR121W
Q0085,YKL016C
Q0085,YLR067C
Q0085,YLR203C
Q0085,YLR295C
Q0085,YLR393W
Q0085,YML081C-A
Q0085,YML129C
Q0085,YOL027C
Q0085,YPL078C
Q0085,YPL271W
Q0105,Q0250
Q0105,YBL030C
Q0105,YBL045C
Q0105,YBR120C
Q0105,YDR231C
Q0105,YDR375C
Q0105,YDR529C
Q0105,YEL024W
Q0105,YER154W
Q0105,YGL187C
Q0105,YGR112W
Q0105,YGR174C
Q0105,YHL038C
Q0105,YJL166W
Q0105,YKR016W
Q0105,YLR203C
Q0105,YML030W
Q0105,YML129C
Q0105,YOL027C
Q0105,YOR065W
Q0105,YPL215W
Q0105,YPR042C
Q0105,YPR191W
Q0110,YDR231C
Q0110,YGL187C
