id1	id2	selfpairs
YGL122C	YEL024W	0
YDL160C	YGL122C	0
YGR062C	YDL160C	0
YER154W	YMR256C	0
YKR016W	YBL030C	0
Q0085	YJR045C	0
Q0250	YNR018W	0
YNL052W	YBL099W	0
YNR019W	YGR112W	0
YOR065W	YOL027C	0
YML030W	Q0080	0
YKR016W	YLR320W	0
YPR042C	Q0045	0
YOR065W	Q0045	0
YDR119W-A	YDR529C	0
YOR065W	YGL122C	0
YMR256C	YNL026W	0
YNR018W	YBL099W	0
YDR231C	YJR045C	0
YGL122C	YNR018W	0
YJR121W	YJR045C	0
YDL160C	YOL027C	0
YDL160C	YJL014W	0
YGR132C	YNR018W	0
YPR191W	YDL160C	0
YPL215W	YDL160C	0
YBR039W	YGR112W	0
YKR016W	YGL187C	0
YJR045C	Q0045	0
YBR255C-A	YML030W	0
YPR191W	YDR231C	0
YBR039W	YBR120C	0
YBL045C	YMR256C	0
YPR042C	YGR112W	0
Q0105	YML081C-A	0
YKR016W	YDR231C	0
YPR191W	YGL122C	0
YDL160C	YLR295C	0
YGL122C	YBL030C	0
YGR033C	YKL155C	0
YJR045C	YML129C	0
YLR320W	YBL045C	0
YBR255C-A	YBL045C	0
Q0255	YOR065W	0
YKL016C	YDL160C	0
YDR377W	YGR174C	0
YBL099W	YGL187C	0
YML030W	YBR185C	0
YPR140W	YDL004W	0
Q0105	YKL155C	0
YLR295C	YPR042C	0
YIR021W	YML129C	0
YDL160C	YPL215W	0
YDL160C	YGL191W	0
Q0140	YNR017W	0
YPR125W	YDR529C	0
YJL166W	YPL078C	0
YBL045C	YPR191W	0
YPR042C	Q0250	0
YGL122C	YBL045C	0
YNR017W	YDR375C	0
YGR112W	YGL187C	0
YGL122C	YOR065W	0
YGL187C	Q0105	0
YNR017W	Q0045	0
YKR016W	YNL052W	0
YDR119W-A	Q0045	0
Q0105	YBR039W	0
YML030W	Q0045	0
YKL016C	YPR042C	0
YKR016W	YHR051W	0
YHR051W	YNR018W	0
YGL187C	YDR231C	0
YJL166W	YDR231C	0
YJR121W	YDL107W	0
YEL024W	YML129C	0
YJR121W	YDL004W	0
YGL122C	YDR377W	0
Q0130	YBR024W	0
YGR112W	YIL157C	0
YDR119W-A	YGR033C	0
YGL187C	YLR395C	0
Q0250	YBL045C	0
YJR045C	YGL122C	0
YBL030C	YKL016C	0
YBR120C	YOL027C	0
YML030W	Q0275	0
YDL160C	YKR016W	0
YLR295C	YDR231C	0
YGR174C	YDR529C	0
YKR016W	YJR045C	0
YPR191W	YIL157C	0
YKR016W	Q0130	0
YKL016C	YML030W	0
YOR065W	YGL064C	0
YJL062W-A	YBL045C	0
YKR016W	YGR174C	0
Q0250	YKR016W	0
YNR018W	Q0275	0
YIL111W	Q0250	0
YML030W	YGL191W	0
YDL160C-A	Q0140	0
YGL064C	YPR042C	0
YBR120C	Q0120	0
YDL160C	YJL166W	0
YPL078C	YML030W	0
YDR231C	YBL075C	0
YDR231C	Q0110	0
YGL187C	YGR062C	0
YKL155C	YOR065W	0
YNL052W	YIL051C	0
YGL122C	YPR191W	0
YNL026W	YHR051W	0
YGR222W	YHR051W	0
YGR222W	YGL122C	0
YJR121W	YOL027C	0
YHR051W	YEL024W	0
YML081C-A	YBL045C	0
YDL160C	YDR231C	0
YGL122C	YEL024W	0
YOL027C	YJL014W	0
Q0140	YKR016W	0
YJL062W-A	YDR377W	0
YMR256C	YJR045C	0
YGL122C	YHL004W	0
Q0110	YLR203C	0
YNL026W	YPL078C	0
Q0250	YGL187C	0
YHL038C	YGR174C	0
Q0130	YPL271W	0
YHR051W	YDR529C	0
YDL160C	Q0140	0
YDR231C	YPL271W	0
YGL122C	YGL191W	0
Q0250	Q0130	0
YNL030W	YPR042C	0
Q0085	YBR120C	0
YHR051W	Q0080	0
YOR090C	YJL166W	0
YBL045C	YPR042C	0
Q0045	YKR016W	0
YPL078C	YBL045C	0
YHR051W	YDR377W	0
Q0045	YDR529C	0
YLR395C	Q0065	0
YDR231C	YNL052W	0
YPL271W	YLR203C	0
Q0085	Q0250	0
YJR121W	Q0275	0
YDL160C	YGR033C	0
YHL004W	YLR203C	0
YBR185C	YPL271W	0
YKL016C	YDL160C	0
YDL160C	YBR009C	0
YGL122C	Q0105	0
YOR065W	YER154W	0
Q0120	YNL026W	0
YDL160C	YPR042C	0
YJL014W	YMR244C-A	0
YGR132C	YDL160C	0
YML030W	YIL111W	0
YPR042C	Q0045	0
YMR256C	Q0045	0
YJR045C	YJL166W	0
YGL122C	YNL026W	0
Q0140	YPR191W	0
YJR121W	Q0250	0
Q0275	YPR042C	0
YNR017W	Q0250	0
YBL030C	Q0045	0
YBL030C	Q0275	0
YBL030C	Q0045	0
YER154W	YDR231C	0
YPL078C	YBR039W	0
Q0275	YPR042C	0
YOL027C	YBL030C	0
YJR045C	YDL160C	0
YGL187C	YNL026W	0
YLR203C	YML129C	0
YOL027C	YBR037C	0
YDL160C	YBR039W	0
YNL030W	YML030W	0
YPR042C	YJR121W	0
YJR045C	YLR067C	0
YMR256C	YBR009C	0
Q0045	YNL026W	0
YPR042C	Q0275	0
YML081C-A	Q0060	0
YPL215W	YGR062C	0
YDR377W	YKL016C	0
YKR016W	YJL062W-A	0
Q0130	YPR191W	0
YGL187C	YPR191W	0
YIL111W	YBL030C	0
Q0250	YDR119W-A	0
YGL122C	YJR045C	0
YDR231C	YKR016W	0
YBR039W	YNL052W	0
YLR295C	YMR244C-A	0
YBR255C-A	YJR121W	0
YGR033C	YBR037C	0
YBR255C-A	YGL122C	0
YKR016W	YLR395C	0
Q0250	YOR065W	0
YKR016W	YNL026W	0
YLR203C	YBL045C	0
YGL187C	YJR045C	0
YPR042C	YJR121W	0
Q0045	YEL024W	0
YGL122C	YJR045C	0
YDL160C	Q0250	0
YNL026W	YBL030C	0
YDL160C-A	YNR018W	0
YML129C	YDR119W-A	0
YJL062W-A	YDR377W	0
YDR231C	YLR395C	0
YGR112W	YOL027C	0
Q0250	Q0085	0
YBR255C-A	YJR121W	0
Q0080	YDR231C	0
YGR062C	YNL052W	0
YNL052W	YLR203C	0
YDR231C	YPR191W	0
YBL030C	YBL099W	0
YDR231C	Q0250	0
YPR191W	YER154W	0
YPR125W	YNR017W	0
YDL160C	YGL122C	0
Q0115	YBR009C	0
YML129C	YBL045C	0
YML129C	YKR016W	0
YNR017W	Q0250	0
Q0250	YGL187C	0
YML030W	YDR529C	0
YPR042C	YGL187C	0
YKL155C	YGR033C	0
YNL052W	YDR375C	0
YKR016W	YGL191W	0
YOR090C	YGL191W	0
YGR112W	YDL160C	0
YNR017W	YHR076W	0
Q0250	YGL191W	0
YKR016W	YGL187C	0
YGL122C	YNL052W	0
YER154W	YDL160C	0
YDR375C	YPR191W	0
YPR125W	YLR395C	0
YDL160C	YKL016C	0
Q0060	Q0070	0
YGL187C	YGL122C	0
YDL160C	YGR037C	0
Q0080	YJR045C	0
YDL160C	YLR203C	0
YOR090C	Q0085	0
YGL191W	YDR231C	0
YDL160C	YHL038C	0
YGR222W	YGR174C	0
