geneA,geneB,selfpairs
YPL078C,YGR033C,0
Q0080,YJR045C,0
YBL045C,YNL030W,0
YDR231C,YGL187C,0
YGL187C,YBR255C-A,0
YDR119W-A,YML081C-A,0
YPL271W,YGR112W,0
YIL051C,YGL187C,0
YPR042C,YML030W,0
YJL062W-A,YJR045C,0
YEL024W,YLR203C,0
YGL122C,Q0020,0
YKR016W,YNL026W,0
YGR222W,YJL062W-A,0
YPL078C,YKR016W,0
Q0045,Q0110,0
YGL122C,YBL099W,0
YDL156W,YHR051W,0
YJR045C,YNR018W,0
YDL160C,Q0085,0
YOR065W,YPL271W,0
YNR017W,YBR185C,0
YEL024W,Q0250,0
Q0250,YBL045C,0
YDL160C,Q0250,0
YGL187C,YDL160C,0
YML129C,YIR021W,0
YGR037C,Q0085,0
YBR039W,Q0105,0
YBL045C,YDR231C,0
Q0130,YJR045C,0
YGR132C,Q0250,0
YGL122C,Q0250,0
YNR017W,YBL045C,0
YBL099W,YPR191W,0
YDR529C,YKR016W,0
YJR045C,YKL016C,0
YNR018W,YLR320W,0
YJL166W,YMR244C-A,0
YGR222W,YML129C,0
Q0250,YGR132C,0
YDL160C,Q0080,0
YJR045C,YGL122C,0
Q0140,YKL016C,0
YDL004W,Q0080,0
YLR295C,YKL155C,0
YER154W,YJL166W,0
YML030W,YKR016W,0
YDR529C,YOR065W,0
YJR045C,YHR051W,0
YGL187C,YNL155W,0
YDR231C,YHR051W,0
Q0105,YBR185C,0
YPL078C,YKL155C,0
YOR065W,YDL107W,0
YGL187C,YEL024W,0
YDR529C,YKR016W,0
Q0045,YPL271W,0
YJL062W-A,YER154W,0
Q0080,YIL111W,0
YKR016W,YGL187C,0
YDL160C,YGL122C,0
Q0045,YBL030C,0
YKL016C,Q0045,0
YBL045C,YPR042C,0
YBL030C,Q0080,0
YJL014W,YDR375C,0
YBR037C,YKR016W,0
YGL187C,YIL111W,0
YJR045C,YBR255C-A,0
Q0275,Q0045,0
YBL045C,YJR045C,0
YLR067C,YKR016W,0
YGR222W,YBL045C,0
YHL004W,YBL099W,0
YDR529C,YLR203C,0
YEL024W,Q0085,0
Q0140,Q0105,0
YBL045C,YGL122C,0
YPR191W,YML129C,0
YIL157C,YGR112W,0
YNL026W,YKR016W,0
YBR039W,YJR121W,0
YDR529C,YDL160C,0
YOR065W,YPL078C,0
YBR120C,YPR191W,0
YJR121W,YIL157C,0
YNL305C,YGL122C,0
Q0105,YBL030C,0
YPR042C,YML129C,0
YKR016W,Q0105,0
Q0250,YKR016W,0
YNL305C,YKR016W,0
YBR009C,YNR017W,0
YIL157C,YNR018W,0
YGL122C,YLR203C,0
YBL030C,YOR090C,0
YDL160C,YDR529C,0
Q0050,YBR009C,0
YGL187C,YDL160C,0
YLR395C,YKR016W,0
Q0045,YJR121W,0
YDR231C,Q0250,0
Q0085,YDR231C,0
YPR042C,YPL215W,0
YGR033C,YML030W,0
Q0275,YDL160C,0
YDL160C,YGL187C,0
YJL062W-A,YDL160C,0
YPL215W,YDL004W,0
YJL062W-A,Q0065,0
YEL024W,Q0275,0
YKL016C,YBR185C,0
YPR042C,YGL122C,0
YLR320W,YJR045C,0
YGL187C,YKR016W,0
YLR203C,YDL160C,0
YLR320W,YBL045C,0
YHL038C,YNR018W,0
Q0250,YKR016W,0
YNR018W,YGL187C,0
YGL187C,YGR112W,0
YIL111W,YDR529C,0
YDL160C,YGL122C,0
Q0105,YNL026W,0
YDL160C,YDR377W,0
YHL004W,Q0130,0
YDL160C,YGL187C,0
YBR037C,YGR112W,0
YPR042C,YDR377W,0
YGR112W,Q0255,0
Q0130,YHR051W,0
YDR231C,YBR185C,0
Q0250,Q0105,0
YHR051W,YDL160C,0
YBR120C,YHR051W,0
YDL160C,YLR203C,0
YBL045C,YPL271W,0
YML129C,YBR185C,0
Q0275,YKR016W,0
Q0085,YDL160C,0
YDL160C,YBL045C,0
Q0275,Q0085,0
YGL122C,YGL191W,0
YEL024W,YLR320W,0
YMR256C,Q0045,0
YDL160C,YPL078C,0
YJR045C,YJR121W,0
YDL160C,Q0085,0
YKR016W,YPL215W,0
YJR045C,Q0140,0
YHL004W,YNL305C,0
YKR016W,YPR042C,0
YPL215W,YIL051C,0
YJL014W,Q0250,0
YKL016C,YPR191W,0
YPL215W,YBL045C,0
YGR112W,YKR016W,0
YHR051W,YPR042C,0
YGR174C,YDR231C,0
YGR062C,YKL016C,0
YGL187C,YPR191W,0
YBR255C-A,YBL045C,0
YOL027C,YBL099W,0
YLR203C,YJL166W,0
YOR090C,YGL122C,0
Q0130,YJL166W,0
YDL160C,Q0250,0
YPR042C,YBL045C,0
YPL271W,Q0250,0
Q0140,Q0045,0
YBR120C,YKR016W,0
YGR132C,YKR016W,0
YGL122C,YJR045C,0
YPR191W,Q0105,0
YLR203C,YGL122C,0
YNL305C,Q0050,0
Q0045,Q0115,0
YBL045C,YKR016W,0
YLR320W,YOL027C,0
YER154W,YBL075C,0
YKL016C,Q0140,0
YNL052W,YBR039W,0
YPR042C,Q0130,0
Q0158,YNL052W,0
YPL078C,YNL052W,0
YNR017W,YJL014W,0
YML030W,YML129C,0
Q0105,YML081C-A,0
YGL122C,YBL099W,0
YJL014W,Q0045,0
YPR042C,YNR018W,0
YNL052W,YML030W,0
YBL099W,YDL107W,0
YBR039W,Q0045,0
YGL122C,YDR231C,0
YLR203C,YJL014W,0
YNL052W,YPL078C,0
YHR051W,Q0045,0
YPR042C,YCR106W,0
YGR037C,Q0105,0
YKL155C,YLR320W,0
YOR090C,Q0050,0
YNR019W,YJR045C,0
YBR039W,YKR016W,0
YNL026W,YDL004W,0
YML030W,YBL045C,0
YBL030C,YDL156W,0
YHR051W,YJL166W,0
