id1	id2	tag	tag_counts	selfpairs
Q0045	Q0075	Q0045_Q0075	1	0
Q0105	YNL052W	Q0105_YNL052W	1	0
YDL160C	YGR222W	YDL160C_YGR222W	1	0
YHL004W	YML129C	YHL004W_YML129C	1	0
Q0080	YJR121W	Q0080_YJR121W	1	0
YNL052W	YPL215W	YNL052W_YPL215W	1	0
YGR112W	YML030W	YGR112W_YML030W	1	0
Q0115	YBL099W	Q0115_YBL099W	1	0
YBL030C	YPR191W	YBL030C_YPR191W	1	0
YHR051W	YPR125W	YHR051W_YPR125W	1	0
Q0275	YDL004W	Q0275_YDL004W	1	0
Q0060	YPL172C	Q0060_YPL172C	1	0
Q0130	YJL062W-A	Q0130_YJL062W-A	1	0
YJL062W-A	YOR065W	YJL062W-A_YOR065W	1	0
YGL122C	YNL026W	YGL122C_YNL026W	1	0
YJL014W	YJR045C	YJL014W_YJR045C	1	0
Q0020	YGR222W	Q0020_YGR222W	1	0
YDR231C	YNL305C	YDR231C_YNL305C	1	0
YLR320W	YPR191W	YLR320W_YPR191W	1	0
YNL026W	YOL027C	YNL026W_YOL027C	1	0
YKR016W	YPL078C	YKR016W_YPL078C	1	0
Q0060	YML129C	Q0060_YML129C	1	0
Q0120	YBR120C	Q0120_YBR120C	1	0
YIR021W	YKR016W	YIR021W_YKR016W	1	0
Q0050	YBL099W	Q0050_YBL099W	1	0
YGR112W	YKR016W	YGR112W_YKR016W	1	0
YBL045C	YML030W	YBL045C_YML030W	1	0
Q0045	YML081C-A	Q0045_YML081C-A	1	0
YGL122C	YOR065W	YGL122C_YOR065W	1	0
YBR039W	YBR185C	YBR039W_YBR185C	1	0
YGL122C	YML129C	YGL122C_YML129C	1	0
Q0080	YBR185C	Q0080_YBR185C	1	0
Q0050	YGL187C	Q0050_YGL187C	1	0
Q0110	YGL191W	Q0110_YGL191W	1	0
YJR045C	YKL016C	YJR045C_YKL016C	1	0
Q0085	YNL155W	Q0085_YNL155W	1	0
Q0275	YNL026W	Q0275_YNL026W	1	0
Q0105	Q0130	Q0105_Q0130	1	0
YGL122C	YGR033C	YGL122C_YGR033C	1	0
YDL004W	YNL052W	YDL004W_YNL052W	1	0
YKL016C	YNR018W	YKL016C_YNR018W	1	0
YLR203C	YPR042C	YLR203C_YPR042C	1	0
YBR255C-A	YLR295C	YBR255C-A_YLR295C	1	0
YBL030C	YKL155C	YBL030C_YKL155C	1	0
Q0275	YOR065W	Q0275_YOR065W	1	0
Q0250	YBR039W	Q0250_YBR039W	1	0
YIL157C	YPR042C	YIL157C_YPR042C	1	0
YJL166W	YLR203C	YJL166W_YLR203C	1	0
YBL045C	YHR051W	YBL045C_YHR051W	1	0
Q0085	Q0250	Q0085_Q0250	1	0
Q0140	YDL160C	Q0140_YDL160C	1	0
YHR051W	YML030W	YHR051W_YML030W	1	0
YER154W	YJR045C	YER154W_YJR045C	1	0
YHR051W	YNL305C	YHR051W_YNL305C	1	0
YLR295C	YPR125W	YLR295C_YPR125W	1	0
Q0130	YPR191W	Q0130_YPR191W	1	0
Q0045	YMR256C	Q0045_YMR256C	1	0
YDR375C	YGL064C	YDR375C_YGL064C	1	0
Q0110	YEL024W	Q0110_YEL024W	1	0
YDL107W	YPR042C	YDL107W_YPR042C	1	0
YDR377W	YGL122C	YDR377W_YGL122C	1	0
Q0275	YDL160C	Q0275_YDL160C	1	0
